115th Precinct,,
   April ,,
115sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,6
Brake Lights (Defect.or Improper),0,0
"Bus Lane, Driving in",0,0
Cell Phone,65,208
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,38,297
Disobey Traffic Control Device,289,829
Equipment (Other),10,19
Fail to Keep Right,0,0
Fail to Signal,38,158
Following Too Closely,1,2
Headlights (Defect. or Improper),2,5
Improper Lights,65,321
Improper Passing,6,20
Improper Turn,68,228
Improper/Missing Plates,3,12
Not Giving R of W to Pedes.,60,201
Not Giving R of W to Veh.,5,15
One Way Street,2,13
Pavement Markings,5,21
Safety Belt,104,409
"School Bus, Passing Stopped",7,10
Speeding,71,231
Spillback,5,15
Tinted Windows,191,847
Truck Routes,3,10
U-Turn,0,0
Uninspected,12,44
Uninsured,118,476
Unlicensed Operator,364,1244
Unregistered,10,44
Unsafe Lane Change,0,3
Other Movers,61,229
115    TOTAL Movers ,1603,5917
