"Moving Violations",,
"101st Precinct",,
"   April ",,
101sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,5
"Brake Lights (Defect.or Improper)",33,156
"Bus Lane, Driving in",0,0
"Cell Phone",70,241
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",37,150
"Disobey Traffic Control Device",73,322
"Equipment (Other)",7,25
"Fail to Keep Right",0,0
"Fail to Signal",16,86
"Following Too Closely",1,2
"Headlights (Defect. or Improper)",32,196
"Improper Lights",2,7
"Improper Passing",3,12
"Improper Turn",5,32
"Improper/Missing Plates",4,12
"Not Giving R of W to Pedes.",14,70
"Not Giving R of W to Veh.",0,3
"One Way Street",1,3
"Pavement Markings",4,18
"Safety Belt",58,203
"School Bus, Passing Stopped",7,8
Speeding,81,272
Spillback,0,2
"Tinted Windows",85,294
"Truck Routes",2,8
U-Turn,0,2
Uninspected,4,28
Uninsured,33,183
"Unlicensed Operator",83,381
Unregistered,10,30
"Unsafe Lane Change",0,1
"Other Movers",41,127
"101    TOTAL Movers ",706,2879
"* All figures are preliminary and subject to change.",,
