Midtown South Precinct,,
   April ,,
014sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,2,12
Brake Lights (Defect.or Improper),22,75
"Bus Lane, Driving in",0,0
Cell Phone,231,819
Commercial Veh on Pkwy,0,0
Defective Brakes,0,5
Disobey Steady Red Signal,37,142
Disobey Traffic Control Device,402,1426
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,101,418
Following Too Closely,0,0
Headlights (Defect. or Improper),31,106
Improper Lights,0,2
Improper Passing,0,15
Improper Turn,272,857
Improper/Missing Plates,0,2
Not Giving R of W to Pedes.,186,657
Not Giving R of W to Veh.,1,1
One Way Street,26,92
Pavement Markings,6,18
Safety Belt,216,692
"School Bus, Passing Stopped",0,0
Speeding,28,85
Spillback,65,281
Tinted Windows,22,123
Truck Routes,22,78
U-Turn,31,116
Uninspected,1,6
Uninsured,79,287
Unlicensed Operator,40,136
Unregistered,20,62
Unsafe Lane Change,19,96
Other Movers,137,529
014    TOTAL Movers ,1997,7138
