50th Precinct,,
   April ,,
050sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,1
Brake Lights (Defect.or Improper),9,30
"Bus Lane, Driving in",0,0
Cell Phone,27,122
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,10,44
Disobey Traffic Control Device,271,939
Equipment (Other),1,2
Fail to Keep Right,0,2
Fail to Signal,6,32
Following Too Closely,0,1
Headlights (Defect. or Improper),9,31
Improper Lights,0,7
Improper Passing,1,1
Improper Turn,67,222
Improper/Missing Plates,3,5
Not Giving R of W to Pedes.,45,149
Not Giving R of W to Veh.,0,4
One Way Street,1,2
Pavement Markings,0,2
Safety Belt,63,244
"School Bus, Passing Stopped",5,8
Speeding,29,168
Spillback,0,0
Tinted Windows,81,278
Truck Routes,0,0
U-Turn,2,11
Uninspected,4,10
Uninsured,21,72
Unlicensed Operator,29,89
Unregistered,2,6
Unsafe Lane Change,1,3
Other Movers,8,49
050    TOTAL Movers ,695,2534
