72nd Precinct,,
   April ,,
072sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,1,7
Brake Lights (Defect.or Improper),0,2
"Bus Lane, Driving in",0,0
Cell Phone,59,201
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,84,253
Disobey Traffic Control Device,139,432
Equipment (Other),0,1
Fail to Keep Right,0,0
Fail to Signal,9,41
Following Too Closely,5,18
Headlights (Defect. or Improper),0,2
Improper Lights,0,0
Improper Passing,2,6
Improper Turn,56,156
Improper/Missing Plates,8,28
Not Giving R of W to Pedes.,29,127
Not Giving R of W to Veh.,7,34
One Way Street,17,36
Pavement Markings,41,125
Safety Belt,41,173
"School Bus, Passing Stopped",12,18
Speeding,36,112
Spillback,0,0
Tinted Windows,22,153
Truck Routes,1,5
U-Turn,21,79
Uninspected,0,2
Uninsured,15,49
Unlicensed Operator,48,142
Unregistered,7,28
Unsafe Lane Change,10,56
Other Movers,25,106
072    TOTAL Movers ,695,2392
