122nd Precinct,,
   April ,,
122sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,1,1
Brake Lights (Defect.or Improper),20,61
"Bus Lane, Driving in",4,11
Cell Phone,76,251
Commercial Veh on Pkwy,0,4
Defective Brakes,2,5
Disobey Steady Red Signal,23,82
Disobey Traffic Control Device,171,605
Equipment (Other),8,28
Fail to Keep Right,0,1
Fail to Signal,57,209
Following Too Closely,3,16
Headlights (Defect. or Improper),4,39
Improper Lights,0,1
Improper Passing,1,1
Improper Turn,4,21
Improper/Missing Plates,11,49
Not Giving R of W to Pedes.,13,42
Not Giving R of W to Veh.,3,19
One Way Street,1,14
Pavement Markings,11,57
Safety Belt,66,290
"School Bus, Passing Stopped",6,10
Speeding,172,546
Spillback,0,0
Tinted Windows,127,623
Truck Routes,9,15
U-Turn,10,47
Uninspected,3,17
Uninsured,42,175
Unlicensed Operator,80,315
Unregistered,11,64
Unsafe Lane Change,6,38
Other Movers,79,278
122    TOTAL Movers ,1024,3935
