43rd Precinct,,
   April ,,
043sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,7,22
Brake Lights (Defect.or Improper),49,242
"Bus Lane, Driving in",0,0
Cell Phone,65,170
Commercial Veh on Pkwy,0,0
Defective Brakes,0,1
Disobey Steady Red Signal,10,70
Disobey Traffic Control Device,68,246
Equipment (Other),14,16
Fail to Keep Right,0,0
Fail to Signal,41,237
Following Too Closely,0,1
Headlights (Defect. or Improper),54,306
Improper Lights,0,2
Improper Passing,3,5
Improper Turn,64,362
Improper/Missing Plates,4,15
Not Giving R of W to Pedes.,41,237
Not Giving R of W to Veh.,1,6
One Way Street,0,1
Pavement Markings,10,31
Safety Belt,49,172
"School Bus, Passing Stopped",8,37
Speeding,86,223
Spillback,1,2
Tinted Windows,69,248
Truck Routes,0,1
U-Turn,1,15
Uninspected,2,2
Uninsured,18,100
Unlicensed Operator,59,218
Unregistered,9,32
Unsafe Lane Change,10,117
Other Movers,53,143
043    TOTAL Movers ,796,3280
