"Moving Violations",,
"84th Precinct",,
"   April ",,
084sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,1
"Brake Lights (Defect.or Improper)",6,34
"Bus Lane, Driving in",0,0
"Cell Phone",70,182
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",54,192
"Disobey Traffic Control Device",143,519
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",35,127
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",7,33
"Improper Lights",0,0
"Improper Passing",5,68
"Improper Turn",126,460
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",25,125
"Not Giving R of W to Veh.",1,3
"One Way Street",0,5
"Pavement Markings",30,229
"Safety Belt",72,205
"School Bus, Passing Stopped",4,5
Speeding,16,50
Spillback,0,0
"Tinted Windows",109,266
"Truck Routes",2,7
U-Turn,2,9
Uninspected,2,3
Uninsured,23,81
"Unlicensed Operator",18,75
Unregistered,3,12
"Unsafe Lane Change",0,0
"Other Movers",28,73
"084    TOTAL Movers ",781,2766
"* All figures are preliminary and subject to change.",,
