"Moving Violations",,
"103rd Precinct",,
"   April ",,
103sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",3,8
"Brake Lights (Defect.or Improper)",4,14
"Bus Lane, Driving in",0,0
"Cell Phone",91,257
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",38,120
"Disobey Traffic Control Device",415,1401
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",13,68
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",6,15
"Improper Lights",0,3
"Improper Passing",1,4
"Improper Turn",101,347
"Improper/Missing Plates",3,4
"Not Giving R of W to Pedes.",73,253
"Not Giving R of W to Veh.",1,7
"One Way Street",1,5
"Pavement Markings",23,76
"Safety Belt",136,378
"School Bus, Passing Stopped",5,13
Speeding,23,72
Spillback,2,24
"Tinted Windows",306,1336
"Truck Routes",48,101
U-Turn,42,147
Uninspected,1,4
Uninsured,17,55
"Unlicensed Operator",102,371
Unregistered,5,18
"Unsafe Lane Change",1,12
"Other Movers",81,297
"103    TOTAL Movers ",1542,5410
"* All figures are preliminary and subject to change.",,
