33rd Precinct,,
   April ,,
033sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,10
Brake Lights (Defect.or Improper),12,67
"Bus Lane, Driving in",0,0
Cell Phone,55,224
Commercial Veh on Pkwy,1,3
Defective Brakes,0,0
Disobey Steady Red Signal,29,134
Disobey Traffic Control Device,55,199
Equipment (Other),3,12
Fail to Keep Right,1,6
Fail to Signal,12,56
Following Too Closely,0,0
Headlights (Defect. or Improper),6,28
Improper Lights,1,2
Improper Passing,0,3
Improper Turn,44,181
Improper/Missing Plates,10,33
Not Giving R of W to Pedes.,25,87
Not Giving R of W to Veh.,1,7
One Way Street,3,14
Pavement Markings,2,7
Safety Belt,52,133
"School Bus, Passing Stopped",5,5
Speeding,72,174
Spillback,0,3
Tinted Windows,37,135
Truck Routes,6,24
U-Turn,5,28
Uninspected,3,8
Uninsured,22,78
Unlicensed Operator,31,96
Unregistered,14,45
Unsafe Lane Change,5,11
Other Movers,43,175
033    TOTAL Movers ,555,1988
