61st Precinct,,
   April ,,
061sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,0
Brake Lights (Defect.or Improper),1,6
"Bus Lane, Driving in",0,0
Cell Phone,122,548
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,13,40
Disobey Traffic Control Device,36,133
Equipment (Other),1,2
Fail to Keep Right,0,0
Fail to Signal,3,11
Following Too Closely,0,1
Headlights (Defect. or Improper),0,5
Improper Lights,0,2
Improper Passing,3,6
Improper Turn,7,68
Improper/Missing Plates,2,8
Not Giving R of W to Pedes.,47,187
Not Giving R of W to Veh.,4,12
One Way Street,0,11
Pavement Markings,0,4
Safety Belt,133,548
"School Bus, Passing Stopped",7,9
Speeding,30,140
Spillback,1,2
Tinted Windows,20,202
Truck Routes,0,0
U-Turn,1,5
Uninspected,0,0
Uninsured,14,65
Unlicensed Operator,27,115
Unregistered,7,34
Unsafe Lane Change,1,5
Other Movers,13,83
061    TOTAL Movers ,493,2252
