"Moving Violations",,
"Brooklyn South",,
"   April ",,
pbbssum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",31,98
"Brake Lights (Defect.or Improper)",63,310
"Bus Lane, Driving in",11,38
"Cell Phone",1160,4373
"Commercial Veh on Pkwy",9,20
"Defective Brakes",0,1
"Disobey Steady Red Signal",578,2348
"Disobey Traffic Control Device",2161,7357
"Equipment (Other)",79,148
"Fail to Keep Right",0,6
"Fail to Signal",338,1289
"Following Too Closely",10,39
"Headlights (Defect. or Improper)",89,522
"Improper Lights",9,63
"Improper Passing",76,250
"Improper Turn",720,2766
"Improper/Missing Plates",111,274
"Not Giving R of W to Pedes.",472,2288
"Not Giving R of W to Veh.",59,228
"One Way Street",30,138
"Pavement Markings",123,732
"Safety Belt",1171,4501
"School Bus, Passing Stopped",145,237
Speeding,435,1791
Spillback,44,131
"Tinted Windows",1091,4566
"Truck Routes",73,194
U-Turn,87,419
Uninspected,50,174
Uninsured,550,1778
"Unlicensed Operator",675,2464
Unregistered,154,501
"Unsafe Lane Change",62,218
"Other Movers",603,2065
"PBBS   TOTAL Movers ",11269,42327
"* All figures are preliminary and subject to change.",,
