Staten Island,,
   April ,,
pbsisum,,
"",MTD   2015,YTD   2015
Backing Unsafely,3,14
Brake Lights (Defect.or Improper),85,299
"Bus Lane, Driving in",4,12
Cell Phone,300,821
Commercial Veh on Pkwy,1,5
Defective Brakes,8,11
Disobey Steady Red Signal,181,684
Disobey Traffic Control Device,641,2188
Equipment (Other),26,84
Fail to Keep Right,0,19
Fail to Signal,333,1086
Following Too Closely,9,34
Headlights (Defect. or Improper),58,386
Improper Lights,7,14
Improper Passing,17,43
Improper Turn,61,149
Improper/Missing Plates,39,150
Not Giving R of W to Pedes.,64,204
Not Giving R of W to Veh.,14,69
One Way Street,4,23
Pavement Markings,138,511
Safety Belt,276,1151
"School Bus, Passing Stopped",32,56
Speeding,587,1776
Spillback,1,9
Tinted Windows,484,1779
Truck Routes,9,16
U-Turn,19,80
Uninspected,24,105
Uninsured,191,739
Unlicensed Operator,362,1304
Unregistered,53,229
Unsafe Lane Change,7,49
Other Movers,277,846
PBSI   TOTAL Movers ,4315,14945
