81st Precinct,,
   April ,,
081sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,1,5
Brake Lights (Defect.or Improper),38,263
"Bus Lane, Driving in",0,0
Cell Phone,128,548
Commercial Veh on Pkwy,0,0
Defective Brakes,6,6
Disobey Steady Red Signal,32,150
Disobey Traffic Control Device,61,227
Equipment (Other),13,41
Fail to Keep Right,1,2
Fail to Signal,42,141
Following Too Closely,0,1
Headlights (Defect. or Improper),68,362
Improper Lights,0,1
Improper Passing,2,5
Improper Turn,2,19
Improper/Missing Plates,0,2
Not Giving R of W to Pedes.,35,94
Not Giving R of W to Veh.,6,30
One Way Street,2,5
Pavement Markings,9,47
Safety Belt,173,636
"School Bus, Passing Stopped",2,5
Speeding,36,135
Spillback,3,9
Tinted Windows,163,562
Truck Routes,0,0
U-Turn,0,0
Uninspected,5,14
Uninsured,55,218
Unlicensed Operator,61,221
Unregistered,14,47
Unsafe Lane Change,1,4
Other Movers,59,228
081    TOTAL Movers ,1018,4028
