"Moving Violations",,
"79th Precinct",,
"   April ",,
079sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,14
"Brake Lights (Defect.or Improper)",49,162
"Bus Lane, Driving in",0,0
"Cell Phone",71,375
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",79,391
"Disobey Traffic Control Device",234,1093
"Equipment (Other)",0,0
"Fail to Keep Right",3,4
"Fail to Signal",0,0
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",20,122
"Improper Lights",0,1
"Improper Passing",5,25
"Improper Turn",65,337
"Improper/Missing Plates",1,1
"Not Giving R of W to Pedes.",17,103
"Not Giving R of W to Veh.",1,5
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",32,170
"School Bus, Passing Stopped",10,13
Speeding,50,156
Spillback,0,3
"Tinted Windows",75,247
"Truck Routes",6,26
U-Turn,4,33
Uninspected,1,14
Uninsured,18,136
"Unlicensed Operator",66,233
Unregistered,13,80
"Unsafe Lane Change",3,5
"Other Movers",21,112
"079    TOTAL Movers ",845,3864
"* All figures are preliminary and subject to change.",,
