"Moving Violations",,
"46th Precinct",,
"   April ",,
046sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",6,23
"Brake Lights (Defect.or Improper)",5,65
"Bus Lane, Driving in",3,16
"Cell Phone",55,223
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",57,250
"Disobey Traffic Control Device",175,613
"Equipment (Other)",0,12
"Fail to Keep Right",0,0
"Fail to Signal",14,84
"Following Too Closely",0,5
"Headlights (Defect. or Improper)",3,36
"Improper Lights",0,0
"Improper Passing",1,5
"Improper Turn",53,370
"Improper/Missing Plates",1,4
"Not Giving R of W to Pedes.",76,264
"Not Giving R of W to Veh.",8,21
"One Way Street",2,14
"Pavement Markings",20,96
"Safety Belt",80,221
"School Bus, Passing Stopped",19,46
Speeding,106,284
Spillback,1,2
"Tinted Windows",183,955
"Truck Routes",0,0
U-Turn,8,61
Uninspected,2,6
Uninsured,37,369
"Unlicensed Operator",59,207
Unregistered,17,79
"Unsafe Lane Change",5,21
"Other Movers",139,466
"046    TOTAL Movers ",1135,4818
"* All figures are preliminary and subject to change.",,
