30th Precinct,,
   April ,,
030sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,3
Brake Lights (Defect.or Improper),9,69
"Bus Lane, Driving in",0,0
Cell Phone,122,381
Commercial Veh on Pkwy,0,0
Defective Brakes,1,1
Disobey Steady Red Signal,88,304
Disobey Traffic Control Device,118,375
Equipment (Other),0,0
Fail to Keep Right,0,6
Fail to Signal,15,118
Following Too Closely,0,0
Headlights (Defect. or Improper),3,27
Improper Lights,0,0
Improper Passing,1,8
Improper Turn,59,272
Improper/Missing Plates,1,2
Not Giving R of W to Pedes.,51,202
Not Giving R of W to Veh.,3,10
One Way Street,0,0
Pavement Markings,9,29
Safety Belt,39,91
"School Bus, Passing Stopped",15,17
Speeding,33,121
Spillback,1,1
Tinted Windows,18,69
Truck Routes,3,62
U-Turn,0,0
Uninspected,1,5
Uninsured,8,41
Unlicensed Operator,23,86
Unregistered,3,12
Unsafe Lane Change,2,2
Other Movers,30,101
030    TOTAL Movers ,656,2415
