"Moving Violations",,
"68th Precinct",,
"   April ",,
068sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",2,23
"Bus Lane, Driving in",0,0
"Cell Phone",50,292
"Commercial Veh on Pkwy",9,17
"Defective Brakes",0,0
"Disobey Steady Red Signal",46,248
"Disobey Traffic Control Device",43,233
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",6,24
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",3,22
"Improper Lights",0,0
"Improper Passing",4,16
"Improper Turn",84,295
"Improper/Missing Plates",2,5
"Not Giving R of W to Pedes.",76,263
"Not Giving R of W to Veh.",11,18
"One Way Street",1,1
"Pavement Markings",18,62
"Safety Belt",111,342
"School Bus, Passing Stopped",7,11
Speeding,40,134
Spillback,0,7
"Tinted Windows",44,160
"Truck Routes",11,44
U-Turn,0,7
Uninspected,1,1
Uninsured,26,111
"Unlicensed Operator",38,134
Unregistered,12,40
"Unsafe Lane Change",2,6
"Other Movers",22,115
"068    TOTAL Movers ",669,2634
"* All figures are preliminary and subject to change.",,
