"Moving Violations",,
"77th Precinct",,
"   April ",,
077sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,13
"Brake Lights (Defect.or Improper)",73,304
"Bus Lane, Driving in",18,114
"Cell Phone",93,307
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,1
"Disobey Steady Red Signal",121,421
"Disobey Traffic Control Device",215,914
"Equipment (Other)",0,0
"Fail to Keep Right",1,9
"Fail to Signal",57,237
"Following Too Closely",1,5
"Headlights (Defect. or Improper)",83,393
"Improper Lights",0,0
"Improper Passing",6,19
"Improper Turn",102,352
"Improper/Missing Plates",0,3
"Not Giving R of W to Pedes.",17,123
"Not Giving R of W to Veh.",9,33
"One Way Street",8,24
"Pavement Markings",46,125
"Safety Belt",112,308
"School Bus, Passing Stopped",16,21
Speeding,117,363
Spillback,4,20
"Tinted Windows",115,427
"Truck Routes",1,1
U-Turn,2,27
Uninspected,3,16
Uninsured,61,266
"Unlicensed Operator",68,237
Unregistered,32,106
"Unsafe Lane Change",4,11
"Other Movers",160,489
"077    TOTAL Movers ",1546,5689
"* All figures are preliminary and subject to change.",,
