"Moving Violations",,
"83rd Precinct",,
"   April ",,
083sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",3,20
"Brake Lights (Defect.or Improper)",31,112
"Bus Lane, Driving in",0,0
"Cell Phone",79,445
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",82,278
"Disobey Traffic Control Device",289,1169
"Equipment (Other)",9,21
"Fail to Keep Right",1,6
"Fail to Signal",37,172
"Following Too Closely",1,2
"Headlights (Defect. or Improper)",20,61
"Improper Lights",1,3
"Improper Passing",8,14
"Improper Turn",45,183
"Improper/Missing Plates",5,18
"Not Giving R of W to Pedes.",18,76
"Not Giving R of W to Veh.",3,17
"One Way Street",1,19
"Pavement Markings",1,12
"Safety Belt",94,384
"School Bus, Passing Stopped",4,5
Speeding,8,33
Spillback,1,5
"Tinted Windows",28,366
"Truck Routes",5,17
U-Turn,1,6
Uninspected,2,6
Uninsured,27,122
"Unlicensed Operator",115,523
Unregistered,24,57
"Unsafe Lane Change",0,1
"Other Movers",32,144
"083    TOTAL Movers ",975,4297
"* All figures are preliminary and subject to change.",,
