Midtown North Precinct,,
   April ,,
018sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,1,8
Brake Lights (Defect.or Improper),62,167
"Bus Lane, Driving in",6,25
Cell Phone,93,377
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,28,246
Disobey Traffic Control Device,188,1083
Equipment (Other),0,1
Fail to Keep Right,0,0
Fail to Signal,1,21
Following Too Closely,0,0
Headlights (Defect. or Improper),31,216
Improper Lights,0,0
Improper Passing,0,1
Improper Turn,186,734
Improper/Missing Plates,4,43
Not Giving R of W to Pedes.,17,105
Not Giving R of W to Veh.,0,2
One Way Street,2,6
Pavement Markings,6,32
Safety Belt,70,283
"School Bus, Passing Stopped",2,2
Speeding,0,10
Spillback,2,6
Tinted Windows,9,37
Truck Routes,0,0
U-Turn,6,19
Uninspected,0,0
Uninsured,32,163
Unlicensed Operator,18,89
Unregistered,8,45
Unsafe Lane Change,6,26
Other Movers,29,163
018    TOTAL Movers ,807,3910
