73rd Precinct,,
   April ,,
073sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,5,12
Brake Lights (Defect.or Improper),22,120
"Bus Lane, Driving in",0,0
Cell Phone,165,554
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,62,339
Disobey Traffic Control Device,217,745
Equipment (Other),6,10
Fail to Keep Right,0,0
Fail to Signal,89,286
Following Too Closely,0,1
Headlights (Defect. or Improper),29,128
Improper Lights,0,0
Improper Passing,9,26
Improper Turn,54,215
Improper/Missing Plates,13,31
Not Giving R of W to Pedes.,9,68
Not Giving R of W to Veh.,34,110
One Way Street,0,0
Pavement Markings,0,3
Safety Belt,217,480
"School Bus, Passing Stopped",0,6
Speeding,36,117
Spillback,0,4
Tinted Windows,212,820
Truck Routes,0,1
U-Turn,0,2
Uninspected,10,34
Uninsured,69,315
Unlicensed Operator,111,330
Unregistered,24,84
Unsafe Lane Change,4,14
Other Movers,158,501
073    TOTAL Movers ,1555,5356
