71st Precinct,,
   April ,,
071sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,12,32
Brake Lights (Defect.or Improper),5,11
"Bus Lane, Driving in",10,30
Cell Phone,174,607
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,74,380
Disobey Traffic Control Device,345,1216
Equipment (Other),10,42
Fail to Keep Right,0,1
Fail to Signal,41,173
Following Too Closely,0,1
Headlights (Defect. or Improper),3,11
Improper Lights,2,7
Improper Passing,4,16
Improper Turn,106,275
Improper/Missing Plates,22,27
Not Giving R of W to Pedes.,30,176
Not Giving R of W to Veh.,9,45
One Way Street,1,7
Pavement Markings,5,37
Safety Belt,90,424
"School Bus, Passing Stopped",8,22
Speeding,40,123
Spillback,23,42
Tinted Windows,80,360
Truck Routes,2,8
U-Turn,8,29
Uninspected,18,46
Uninsured,62,222
Unlicensed Operator,103,351
Unregistered,17,55
Unsafe Lane Change,2,7
Other Movers,53,232
071    TOTAL Movers ,1359,5015
