114th Precinct,,
   April ,,
114sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,3
Brake Lights (Defect.or Improper),0,0
"Bus Lane, Driving in",0,0
Cell Phone,112,555
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,39,180
Disobey Traffic Control Device,275,925
Equipment (Other),0,2
Fail to Keep Right,0,3
Fail to Signal,12,71
Following Too Closely,0,0
Headlights (Defect. or Improper),0,0
Improper Lights,2,34
Improper Passing,3,7
Improper Turn,38,202
Improper/Missing Plates,2,2
Not Giving R of W to Pedes.,20,107
Not Giving R of W to Veh.,2,10
One Way Street,3,8
Pavement Markings,17,54
Safety Belt,129,465
"School Bus, Passing Stopped",1,2
Speeding,55,151
Spillback,0,7
Tinted Windows,31,285
Truck Routes,0,2
U-Turn,0,0
Uninspected,0,2
Uninsured,26,119
Unlicensed Operator,60,214
Unregistered,4,11
Unsafe Lane Change,0,0
Other Movers,63,282
114    TOTAL Movers ,894,3703
