"Moving Violations",,
Citywide,,
"November ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",52,714
"Bike Lane",204,1758
"Bus Lane",340,4833
"Cell Phone",2185,35407
"Commercial Veh on Pkwy",285,2945
"Cruising For Passengers",3,68
"Disobey Traffic Control Device",14065,180548
"Driving Too Slow",4,49
Equipment,1366,26295
"Equipment (Other)",8,86
"Excessive Noise",0,3
"Fail to Keep Right",5,99
"Fail to yield Right of Way to Pedestrian",9409,73368
"Failure to Signal",1114,15960
"Failure to yield Right of Way to Vehicle",13,93
"Following Too Closely",110,943
"Improper Passing",176,2560
"Improper Taxi Pickup",142,1889
"Improper Turn",6217,79397
"Improper/Missing Plates",63,1195
"Lamps and Other Equipment on Bicycle",11,117
"Motorcycle (Other)",57,2073
"Not Giving R of W to Veh.",123,1362
"Obstructed Plate",466,7871
"One Way Street",328,5123
Overheight,13,110
Overlength,5,56
Overweight,7,115
Overwidth,0,0
"Pavement Markings",18,333
"Red Light",5256,64754
"School Bus",136,2261
"Scooter In NYC",0,51
"Seat Belt",3433,65386
Speeding,13281,139839
Spillback,226,6230
"TBTA Rule",0,2
Tints,2401,40493
"TLC (Other)",0,40
"Truck Route",118,1476
Uninspected,196,2964
Uninsured,685,10355
"Unlicensed Operator",3474,46257
Unregistered,801,10472
"Unsafe Lane Change",343,4143
"Other Movers",5893,85670
"CitywideTOTAL Movers ",73032,925763
"* All figures are preliminary and subject to change.",,
