"Moving Violations",,
"73rd Precinct",,
"November ",,
073sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,41
"Brake Lights (Defect.or Improper)",30,491
"Bus Lane, Driving in",0,0
"Cell Phone",147,2386
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,3
"Disobey Sign",193,1756
"Equipment (Other)",1,22
"Fail to Keep Right",0,2
"Fail to Signal",42,376
"Fail to Stop on Signal",53,831
"Following Too Closely",0,7
"Headlights (Defect. or Improper)",46,454
"Improper Lights",0,0
"Improper Passing",3,62
"Improper Turn",54,620
"Improper/Missing Plates",15,115
"Not Giving R of W to Pedes.",28,275
"Not Giving R of W to Veh.",31,224
"One Way Street",1,18
"Pavement Markings",30,355
"Safety Belt",120,1491
"School Bus, Passing Stopped",0,39
Speeding,25,415
Spillback,2,55
"Tinted Windows",170,2310
"Truck Routes",0,4
U-Turn,0,0
Uninspected,9,168
Uninsured,73,940
"Unlicensed Operator",84,1018
Unregistered,27,352
"Unsafe Lane Change",2,18
"Other Movers",124,1396
"073    TOTAL Movers ",1312,16244
"* All figures are preliminary and subject to change.",,
