108th Precinct,,
November ,,
108sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,21
Brake Lights (Defect.or Improper),4,193
"Bus Lane, Driving in",0,0
Cell Phone,79,1310
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,274,2537
Equipment (Other),6,42
Fail to Keep Right,0,4
Fail to Signal,6,47
Fail to Stop on Signal,64,605
Following Too Closely,0,2
Headlights (Defect. or Improper),4,85
Improper Lights,0,0
Improper Passing,4,17
Improper Turn,135,1463
Improper/Missing Plates,0,4
Not Giving R of W to Pedes.,16,463
Not Giving R of W to Veh.,1,6
One Way Street,1,35
Pavement Markings,0,27
Safety Belt,60,1016
"School Bus, Passing Stopped",0,18
Speeding,117,561
Spillback,2,26
Tinted Windows,44,433
Truck Routes,10,137
U-Turn,0,4
Uninspected,2,43
Uninsured,44,599
Unlicensed Operator,40,632
Unregistered,3,66
Unsafe Lane Change,0,12
Other Movers,50,835
108    TOTAL Movers ,967,11243
