"Moving Violations",,
"88th Precinct",,
"November ",,
088sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",4,15
"Brake Lights (Defect.or Improper)",15,180
"Bus Lane, Driving in",0,0
"Cell Phone",101,1879
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",85,1351
"Equipment (Other)",0,12
"Fail to Keep Right",0,0
"Fail to Signal",19,76
"Fail to Stop on Signal",64,700
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",29,300
"Improper Lights",0,0
"Improper Passing",0,5
"Improper Turn",36,106
"Improper/Missing Plates",1,22
"Not Giving R of W to Pedes.",10,99
"Not Giving R of W to Veh.",6,57
"One Way Street",0,22
"Pavement Markings",31,342
"Safety Belt",82,1266
"School Bus, Passing Stopped",1,13
Speeding,25,183
Spillback,0,11
"Tinted Windows",64,137
"Truck Routes",2,17
U-Turn,0,2
Uninspected,0,57
Uninsured,37,550
"Unlicensed Operator",11,281
Unregistered,3,110
"Unsafe Lane Change",0,2
"Other Movers",24,420
"088    TOTAL Movers ",650,8216
"* All figures are preliminary and subject to change.",,
