"Moving Violations",,
"106th Precinct",,
"November ",,
106sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,11
"Brake Lights (Defect.or Improper)",0,1
"Bus Lane, Driving in",0,0
"Cell Phone",40,649
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,9
"Disobey Sign",116,1112
"Equipment (Other)",0,0
"Fail to Keep Right",0,1
"Fail to Signal",0,6
"Fail to Stop on Signal",90,1070
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",0,5
"Improper Lights",17,275
"Improper Passing",9,52
"Improper Turn",122,1648
"Improper/Missing Plates",0,2
"Not Giving R of W to Pedes.",55,267
"Not Giving R of W to Veh.",8,80
"One Way Street",4,42
"Pavement Markings",3,115
"Safety Belt",61,1419
"School Bus, Passing Stopped",1,24
Speeding,37,279
Spillback,1,16
"Tinted Windows",99,779
"Truck Routes",21,136
U-Turn,0,0
Uninspected,8,80
Uninsured,97,1206
"Unlicensed Operator",48,600
Unregistered,6,136
"Unsafe Lane Change",1,15
"Other Movers",24,463
"106    TOTAL Movers ",869,10501
"* All figures are preliminary and subject to change.",,
