45th Precinct,,
November ,,
045sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,6
Brake Lights (Defect.or Improper),21,232
"Bus Lane, Driving in",0,0
Cell Phone,39,625
Commercial Veh on Pkwy,0,5
Defective Brakes,0,0
Disobey Sign,70,969
Equipment (Other),5,18
Fail to Keep Right,1,1
Fail to Signal,9,73
Fail to Stop on Signal,8,114
Following Too Closely,0,3
Headlights (Defect. or Improper),52,280
Improper Lights,1,8
Improper Passing,0,2
Improper Turn,10,134
Improper/Missing Plates,7,59
Not Giving R of W to Pedes.,39,166
Not Giving R of W to Veh.,0,11
One Way Street,0,16
Pavement Markings,18,261
Safety Belt,25,491
"School Bus, Passing Stopped",6,46
Speeding,30,292
Spillback,1,6
Tinted Windows,56,669
Truck Routes,0,20
U-Turn,0,15
Uninspected,1,41
Uninsured,37,392
Unlicensed Operator,41,418
Unregistered,15,100
Unsafe Lane Change,2,20
Other Movers,15,220
045    TOTAL Movers ,509,5713
