"Moving Violations",,
"71st Precinct",,
"November ",,
071sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",5,67
"Brake Lights (Defect.or Improper)",1,195
"Bus Lane, Driving in",7,211
"Cell Phone",129,1850
"Commercial Veh on Pkwy",0,7
"Defective Brakes",0,2
"Disobey Sign",325,3730
"Equipment (Other)",24,212
"Fail to Keep Right",0,0
"Fail to Signal",67,597
"Fail to Stop on Signal",95,1110
"Following Too Closely",1,11
"Headlights (Defect. or Improper)",6,108
"Improper Lights",0,11
"Improper Passing",4,62
"Improper Turn",46,782
"Improper/Missing Plates",7,128
"Not Giving R of W to Pedes.",45,625
"Not Giving R of W to Veh.",16,180
"One Way Street",14,137
"Pavement Markings",16,798
"Safety Belt",106,1218
"School Bus, Passing Stopped",0,68
Speeding,88,477
Spillback,4,49
"Tinted Windows",132,1780
"Truck Routes",3,130
U-Turn,5,68
Uninspected,9,385
Uninsured,63,934
"Unlicensed Operator",87,1040
Unregistered,8,249
"Unsafe Lane Change",2,24
"Other Movers",49,651
"071    TOTAL Movers ",1364,17896
"* All figures are preliminary and subject to change.",,
