"Moving Violations",,
"104th Precinct",,
"November ",,
104sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,16
"Brake Lights (Defect.or Improper)",8,155
"Bus Lane, Driving in",0,0
"Cell Phone",55,986
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",121,1052
"Equipment (Other)",0,29
"Fail to Keep Right",0,6
"Fail to Signal",23,183
"Fail to Stop on Signal",55,509
"Following Too Closely",1,6
"Headlights (Defect. or Improper)",13,88
"Improper Lights",0,2
"Improper Passing",3,31
"Improper Turn",35,331
"Improper/Missing Plates",4,86
"Not Giving R of W to Pedes.",29,432
"Not Giving R of W to Veh.",0,14
"One Way Street",1,19
"Pavement Markings",17,215
"Safety Belt",48,1138
"School Bus, Passing Stopped",0,54
Speeding,112,573
Spillback,1,23
"Tinted Windows",84,833
"Truck Routes",8,198
U-Turn,0,18
Uninspected,1,86
Uninsured,34,473
"Unlicensed Operator",59,815
Unregistered,18,264
"Unsafe Lane Change",1,7
"Other Movers",79,973
"104    TOTAL Movers ",811,9615
"* All figures are preliminary and subject to change.",,
