Staten Island,,
November ,,
pbsisum,,
"",MTD   2014,YTD   2014
Backing Unsafely,5,49
Brake Lights (Defect.or Improper),94,1656
"Bus Lane, Driving in",13,116
Cell Phone,227,3659
Commercial Veh on Pkwy,8,45
Defective Brakes,1,8
Disobey Sign,790,8070
Equipment (Other),37,432
Fail to Keep Right,4,27
Fail to Signal,317,2421
Fail to Stop on Signal,220,2006
Following Too Closely,10,123
Headlights (Defect. or Improper),152,1591
Improper Lights,10,112
Improper Passing,15,179
Improper Turn,23,439
Improper/Missing Plates,45,497
Not Giving R of W to Pedes.,39,533
Not Giving R of W to Veh.,22,204
One Way Street,7,81
Pavement Markings,263,3091
Safety Belt,297,4436
"School Bus, Passing Stopped",33,200
Speeding,560,5691
Spillback,1,34
Tinted Windows,441,2506
Truck Routes,1,94
U-Turn,22,242
Uninspected,20,534
Uninsured,305,3204
Unlicensed Operator,395,4160
Unregistered,79,728
Unsafe Lane Change,16,144
Other Movers,306,3676
PBSI   TOTAL Movers ,4778,50988
