103rd Precinct,,
November ,,
103sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,6,58
Brake Lights (Defect.or Improper),2,27
"Bus Lane, Driving in",0,0
Cell Phone,78,1795
Commercial Veh on Pkwy,0,0
Defective Brakes,0,8
Disobey Sign,439,5388
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,11,205
Fail to Stop on Signal,33,403
Following Too Closely,0,2
Headlights (Defect. or Improper),4,33
Improper Lights,0,23
Improper Passing,2,16
Improper Turn,68,913
Improper/Missing Plates,3,79
Not Giving R of W to Pedes.,99,869
Not Giving R of W to Veh.,5,31
One Way Street,3,59
Pavement Markings,39,437
Safety Belt,79,2759
"School Bus, Passing Stopped",1,37
Speeding,41,211
Spillback,9,93
Tinted Windows,342,3019
Truck Routes,6,164
U-Turn,95,936
Uninspected,3,80
Uninsured,21,298
Unlicensed Operator,141,1367
Unregistered,3,93
Unsafe Lane Change,0,19
Other Movers,158,1684
103    TOTAL Movers ,1691,21106
