62nd Precinct,,
November ,,
062sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,12
Brake Lights (Defect.or Improper),9,103
"Bus Lane, Driving in",0,0
Cell Phone,81,886
Commercial Veh on Pkwy,0,3
Defective Brakes,0,0
Disobey Sign,148,2030
Equipment (Other),6,40
Fail to Keep Right,0,4
Fail to Signal,52,280
Fail to Stop on Signal,80,745
Following Too Closely,1,5
Headlights (Defect. or Improper),4,30
Improper Lights,0,33
Improper Passing,2,85
Improper Turn,8,218
Improper/Missing Plates,4,65
Not Giving R of W to Pedes.,43,403
Not Giving R of W to Veh.,2,63
One Way Street,19,188
Pavement Markings,8,170
Safety Belt,114,1072
"School Bus, Passing Stopped",3,53
Speeding,44,372
Spillback,0,4
Tinted Windows,107,858
Truck Routes,0,17
U-Turn,5,65
Uninspected,0,8
Uninsured,22,380
Unlicensed Operator,46,499
Unregistered,4,94
Unsafe Lane Change,2,45
Other Movers,58,567
062    TOTAL Movers ,872,9397
