"Moving Violations",,
"114th Precinct",,
"November ",,
114sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,11
"Brake Lights (Defect.or Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",142,2183
"Commercial Veh on Pkwy",0,5
"Defective Brakes",0,0
"Disobey Sign",193,3025
"Equipment (Other)",0,35
"Fail to Keep Right",0,1
"Fail to Signal",17,166
"Fail to Stop on Signal",51,797
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",0,0
"Improper Lights",7,94
"Improper Passing",2,36
"Improper Turn",88,608
"Improper/Missing Plates",0,9
"Not Giving R of W to Pedes.",8,253
"Not Giving R of W to Veh.",3,29
"One Way Street",6,41
"Pavement Markings",27,362
"Safety Belt",73,1447
"School Bus, Passing Stopped",1,15
Speeding,122,777
Spillback,3,14
"Tinted Windows",159,983
"Truck Routes",2,66
U-Turn,0,0
Uninspected,0,25
Uninsured,41,534
"Unlicensed Operator",49,803
Unregistered,0,11
"Unsafe Lane Change",0,1
"Other Movers",56,941
"114    TOTAL Movers ",1050,13275
"* All figures are preliminary and subject to change.",,
