Bronx,,
November ,,
pbbxsum,,
"",MTD   2014,YTD   2014
Backing Unsafely,49,361
Brake Lights (Defect.or Improper),472,4333
"Bus Lane, Driving in",20,152
Cell Phone,540,7565
Commercial Veh on Pkwy,0,13
Defective Brakes,2,38
Disobey Sign,1713,15348
Equipment (Other),41,596
Fail to Keep Right,11,82
Fail to Signal,254,2478
Fail to Stop on Signal,459,4554
Following Too Closely,3,68
Headlights (Defect. or Improper),444,4147
Improper Lights,15,139
Improper Passing,16,177
Improper Turn,859,9323
Improper/Missing Plates,28,437
Not Giving R of W to Pedes.,467,2980
Not Giving R of W to Veh.,48,389
One Way Street,19,296
Pavement Markings,282,2750
Safety Belt,557,7780
"School Bus, Passing Stopped",127,1053
Speeding,1182,7849
Spillback,24,232
Tinted Windows,1281,13750
Truck Routes,12,214
U-Turn,117,1243
Uninspected,30,602
Uninsured,643,6577
Unlicensed Operator,707,7058
Unregistered,183,1999
Unsafe Lane Change,77,574
Other Movers,344,4071
PBBX   TOTAL Movers ,11026,109228
