47th Precinct,,
November ,,
047sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,17
Brake Lights (Defect.or Improper),36,333
"Bus Lane, Driving in",0,0
Cell Phone,24,516
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,90,785
Equipment (Other),0,0
Fail to Keep Right,0,2
Fail to Signal,0,1
Fail to Stop on Signal,6,173
Following Too Closely,0,4
Headlights (Defect. or Improper),28,367
Improper Lights,0,0
Improper Passing,0,12
Improper Turn,52,748
Improper/Missing Plates,0,0
Not Giving R of W to Pedes.,26,173
Not Giving R of W to Veh.,8,28
One Way Street,0,2
Pavement Markings,0,29
Safety Belt,46,968
"School Bus, Passing Stopped",1,53
Speeding,29,333
Spillback,0,0
Tinted Windows,47,505
Truck Routes,0,7
U-Turn,0,0
Uninspected,5,110
Uninsured,54,949
Unlicensed Operator,43,517
Unregistered,19,301
Unsafe Lane Change,0,11
Other Movers,48,310
047    TOTAL Movers ,563,7254
