"Moving Violations",,
"77th Precinct",,
"November ",,
077sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,35
"Brake Lights (Defect.or Improper)",40,866
"Bus Lane, Driving in",6,31
"Cell Phone",80,1029
"Commercial Veh on Pkwy",0,0
"Defective Brakes",1,31
"Disobey Sign",228,1894
"Equipment (Other)",2,4
"Fail to Keep Right",1,5
"Fail to Signal",37,226
"Fail to Stop on Signal",61,821
"Following Too Closely",0,9
"Headlights (Defect. or Improper)",155,1526
"Improper Lights",0,0
"Improper Passing",1,37
"Improper Turn",41,412
"Improper/Missing Plates",1,2
"Not Giving R of W to Pedes.",31,294
"Not Giving R of W to Veh.",5,37
"One Way Street",6,76
"Pavement Markings",8,143
"Safety Belt",42,737
"School Bus, Passing Stopped",1,38
Speeding,175,1352
Spillback,7,44
"Tinted Windows",53,786
"Truck Routes",0,15
U-Turn,16,118
Uninspected,3,68
Uninsured,44,812
"Unlicensed Operator",46,632
Unregistered,26,207
"Unsafe Lane Change",0,13
"Other Movers",76,991
"077    TOTAL Movers ",1195,13291
"* All figures are preliminary and subject to change.",,
