"Moving Violations",,
"41st Precinct",,
"November ",,
041sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",4,23
"Brake Lights (Defect.or Improper)",21,251
"Bus Lane, Driving in",0,0
"Cell Phone",44,325
"Commercial Veh on Pkwy",0,3
"Defective Brakes",0,5
"Disobey Sign",216,1864
"Equipment (Other)",6,68
"Fail to Keep Right",1,2
"Fail to Signal",15,108
"Fail to Stop on Signal",62,523
"Following Too Closely",0,25
"Headlights (Defect. or Improper)",34,581
"Improper Lights",0,13
"Improper Passing",1,18
"Improper Turn",58,808
"Improper/Missing Plates",2,28
"Not Giving R of W to Pedes.",51,375
"Not Giving R of W to Veh.",2,17
"One Way Street",1,35
"Pavement Markings",37,333
"Safety Belt",41,456
"School Bus, Passing Stopped",0,44
Speeding,151,810
Spillback,6,24
"Tinted Windows",35,1011
"Truck Routes",3,49
U-Turn,47,411
Uninspected,3,53
Uninsured,97,807
"Unlicensed Operator",51,568
Unregistered,28,220
"Unsafe Lane Change",2,20
"Other Movers",38,211
"041    TOTAL Movers ",1057,10089
"* All figures are preliminary and subject to change.",,
