"Moving Violations",,
"105th Precinct",,
"November ",,
105sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,3
"Brake Lights (Defect.or Improper)",55,667
"Bus Lane, Driving in",0,0
"Cell Phone",78,1346
"Commercial Veh on Pkwy",3,7
"Defective Brakes",0,0
"Disobey Sign",97,1458
"Equipment (Other)",0,2
"Fail to Keep Right",1,6
"Fail to Signal",23,280
"Fail to Stop on Signal",24,196
"Following Too Closely",2,11
"Headlights (Defect. or Improper)",45,456
"Improper Lights",0,0
"Improper Passing",2,23
"Improper Turn",48,282
"Improper/Missing Plates",4,77
"Not Giving R of W to Pedes.",28,199
"Not Giving R of W to Veh.",1,6
"One Way Street",0,36
"Pavement Markings",21,797
"Safety Belt",144,2435
"School Bus, Passing Stopped",3,47
Speeding,160,581
Spillback,0,4
"Tinted Windows",222,1957
"Truck Routes",0,48
U-Turn,3,37
Uninspected,18,273
Uninsured,134,1624
"Unlicensed Operator",59,794
Unregistered,13,161
"Unsafe Lane Change",5,36
"Other Movers",27,370
"105    TOTAL Movers ",1220,14219
"* All figures are preliminary and subject to change.",,
