"Moving Violations",,
"Queens South",,
"November ",,
pbqssum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",17,156
"Brake Lights (Defect.or Improper)",247,3768
"Bus Lane, Driving in",0,0
"Cell Phone",550,8321
"Commercial Veh on Pkwy",3,7
"Defective Brakes",1,39
"Disobey Sign",1247,14297
"Equipment (Other)",38,484
"Fail to Keep Right",2,17
"Fail to Signal",114,1006
"Fail to Stop on Signal",313,3406
"Following Too Closely",3,35
"Headlights (Defect. or Improper)",223,2679
"Improper Lights",27,478
"Improper Passing",39,334
"Improper Turn",580,7926
"Improper/Missing Plates",15,236
"Not Giving R of W to Pedes.",396,2362
"Not Giving R of W to Veh.",25,292
"One Way Street",8,190
"Pavement Markings",87,1923
"Safety Belt",573,12166
"School Bus, Passing Stopped",8,272
Speeding,653,3607
Spillback,11,142
"Tinted Windows",1210,9833
"Truck Routes",45,492
U-Turn,115,1099
Uninspected,50,802
Uninsured,511,7403
"Unlicensed Operator",605,7529
Unregistered,67,1123
"Unsafe Lane Change",10,145
"Other Movers",413,5196
"PBQS   TOTAL Movers ",8206,97765
"* All figures are preliminary and subject to change.",,
