60th Precinct,,
November ,,
060sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,20
Brake Lights (Defect.or Improper),16,104
"Bus Lane, Driving in",7,10
Cell Phone,66,1223
Commercial Veh on Pkwy,0,2
Defective Brakes,0,4
Disobey Sign,115,1576
Equipment (Other),0,5
Fail to Keep Right,0,8
Fail to Signal,28,170
Fail to Stop on Signal,25,263
Following Too Closely,0,0
Headlights (Defect. or Improper),38,192
Improper Lights,0,6
Improper Passing,0,2
Improper Turn,32,273
Improper/Missing Plates,7,26
Not Giving R of W to Pedes.,12,213
Not Giving R of W to Veh.,5,15
One Way Street,0,4
Pavement Markings,27,163
Safety Belt,53,882
"School Bus, Passing Stopped",1,40
Speeding,67,448
Spillback,0,1
Tinted Windows,166,1154
Truck Routes,0,1
U-Turn,16,145
Uninspected,5,29
Uninsured,72,419
Unlicensed Operator,34,397
Unregistered,14,68
Unsafe Lane Change,1,21
Other Movers,41,467
060    TOTAL Movers ,849,8351
