94th Precinct,,
November ,,
094sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,8
Brake Lights (Defect.or Improper),2,61
"Bus Lane, Driving in",0,1
Cell Phone,50,742
Commercial Veh on Pkwy,0,4
Defective Brakes,0,4
Disobey Sign,39,1164
Equipment (Other),5,86
Fail to Keep Right,0,3
Fail to Signal,7,65
Fail to Stop on Signal,64,811
Following Too Closely,0,2
Headlights (Defect. or Improper),23,180
Improper Lights,0,0
Improper Passing,1,32
Improper Turn,42,381
Improper/Missing Plates,1,15
Not Giving R of W to Pedes.,6,121
Not Giving R of W to Veh.,2,54
One Way Street,9,110
Pavement Markings,2,84
Safety Belt,39,774
"School Bus, Passing Stopped",0,14
Speeding,56,700
Spillback,1,9
Tinted Windows,73,414
Truck Routes,10,93
U-Turn,1,11
Uninspected,3,41
Uninsured,15,290
Unlicensed Operator,34,375
Unregistered,5,89
Unsafe Lane Change,2,6
Other Movers,27,657
094    TOTAL Movers ,520,7401
