"Moving Violations",,
"48th Precinct",,
"November ",,
048sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,21
"Brake Lights (Defect.or Improper)",32,252
"Bus Lane, Driving in",0,75
"Cell Phone",91,811
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",132,843
"Equipment (Other)",7,44
"Fail to Keep Right",0,11
"Fail to Signal",25,414
"Fail to Stop on Signal",58,461
"Following Too Closely",2,9
"Headlights (Defect. or Improper)",58,281
"Improper Lights",0,6
"Improper Passing",3,15
"Improper Turn",204,1315
"Improper/Missing Plates",0,12
"Not Giving R of W to Pedes.",27,206
"Not Giving R of W to Veh.",3,22
"One Way Street",0,11
"Pavement Markings",43,257
"Safety Belt",69,555
"School Bus, Passing Stopped",10,52
Speeding,166,1742
Spillback,3,46
"Tinted Windows",118,1185
"Truck Routes",1,37
U-Turn,5,71
Uninspected,1,17
Uninsured,36,265
"Unlicensed Operator",90,718
Unregistered,8,113
"Unsafe Lane Change",1,8
"Other Movers",33,247
"048    TOTAL Movers ",1228,10122
"* All figures are preliminary and subject to change.",,
