40th Precinct,,
November ,,
040sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,18
Brake Lights (Defect.or Improper),96,622
"Bus Lane, Driving in",0,0
Cell Phone,50,808
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,171,1318
Equipment (Other),9,134
Fail to Keep Right,2,32
Fail to Signal,14,179
Fail to Stop on Signal,30,506
Following Too Closely,0,4
Headlights (Defect. or Improper),102,715
Improper Lights,0,2
Improper Passing,3,40
Improper Turn,94,1241
Improper/Missing Plates,0,15
Not Giving R of W to Pedes.,32,377
Not Giving R of W to Veh.,7,79
One Way Street,1,23
Pavement Markings,13,110
Safety Belt,32,727
"School Bus, Passing Stopped",3,63
Speeding,165,913
Spillback,0,64
Tinted Windows,105,1580
Truck Routes,0,11
U-Turn,12,124
Uninspected,0,20
Uninsured,131,1171
Unlicensed Operator,87,886
Unregistered,14,159
Unsafe Lane Change,2,21
Other Movers,25,374
040    TOTAL Movers ,1200,12336
