83rd Precinct,,
November ,,
083sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,6,45
Brake Lights (Defect.or Improper),33,427
"Bus Lane, Driving in",0,0
Cell Phone,138,1384
Commercial Veh on Pkwy,0,0
Defective Brakes,0,5
Disobey Sign,378,3541
Equipment (Other),0,28
Fail to Keep Right,4,23
Fail to Signal,58,401
Fail to Stop on Signal,60,660
Following Too Closely,1,9
Headlights (Defect. or Improper),40,365
Improper Lights,0,12
Improper Passing,3,26
Improper Turn,26,298
Improper/Missing Plates,6,40
Not Giving R of W to Pedes.,11,158
Not Giving R of W to Veh.,6,21
One Way Street,13,115
Pavement Markings,12,92
Safety Belt,53,966
"School Bus, Passing Stopped",2,22
Speeding,19,66
Spillback,1,4
Tinted Windows,86,409
Truck Routes,10,61
U-Turn,1,5
Uninspected,4,29
Uninsured,56,692
Unlicensed Operator,121,1439
Unregistered,13,193
Unsafe Lane Change,0,11
Other Movers,41,233
083    TOTAL Movers ,1202,11780
