"Moving Violations",,
"52nd Precinct",,
"November ",,
052sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,24
"Brake Lights (Defect.or Improper)",69,833
"Bus Lane, Driving in",12,28
"Cell Phone",32,638
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",92,832
"Equipment (Other)",0,44
"Fail to Keep Right",2,8
"Fail to Signal",12,137
"Fail to Stop on Signal",57,463
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",38,507
"Improper Lights",4,33
"Improper Passing",1,8
"Improper Turn",88,1068
"Improper/Missing Plates",3,51
"Not Giving R of W to Pedes.",14,165
"Not Giving R of W to Veh.",1,14
"One Way Street",2,11
"Pavement Markings",27,392
"Safety Belt",37,465
"School Bus, Passing Stopped",2,23
Speeding,138,781
Spillback,0,5
"Tinted Windows",322,2473
"Truck Routes",7,30
U-Turn,2,77
Uninspected,8,195
Uninsured,39,290
"Unlicensed Operator",59,876
Unregistered,17,253
"Unsafe Lane Change",4,23
"Other Movers",8,360
"052    TOTAL Movers ",1099,11108
"* All figures are preliminary and subject to change.",,
