Brooklyn South,,
November ,,
pbbssum,,
"",MTD   2014,YTD   2014
Backing Unsafely,27,347
Brake Lights (Defect.or Improper),81,1511
"Bus Lane, Driving in",20,362
Cell Phone,1051,17691
Commercial Veh on Pkwy,8,83
Defective Brakes,1,18
Disobey Sign,1661,18002
Equipment (Other),44,459
Fail to Keep Right,2,22
Fail to Signal,365,3784
Fail to Stop on Signal,673,8444
Following Too Closely,13,112
Headlights (Defect. or Improper),135,1442
Improper Lights,87,879
Improper Passing,45,810
Improper Turn,411,6952
Improper/Missing Plates,56,530
Not Giving R of W to Pedes.,429,5148
Not Giving R of W to Veh.,59,683
One Way Street,48,533
Pavement Markings,242,4435
Safety Belt,1082,17156
"School Bus, Passing Stopped",25,553
Speeding,629,5342
Spillback,22,556
Tinted Windows,1178,12381
Truck Routes,48,856
U-Turn,109,1418
Uninspected,41,764
Uninsured,512,7606
Unlicensed Operator,582,7402
Unregistered,117,1625
Unsafe Lane Change,44,425
Other Movers,580,7513
PBBS   TOTAL Movers ,10427,135844
