Patrol Bureau,,
November ,,
patrolsum,,
"",MTD   2014,YTD   2014
Backing Unsafely,169,1664
Brake Lights (Defect.or Improper),1528,21318
"Bus Lane, Driving in",79,926
Cell Phone,5991,93600
Commercial Veh on Pkwy,38,230
Defective Brakes,17,276
Disobey Sign,11908,124462
Equipment (Other),275,4158
Fail to Keep Right,40,322
Fail to Signal,2009,18067
Fail to Stop on Signal,3884,46394
Following Too Closely,70,560
Headlights (Defect. or Improper),1798,20307
Improper Lights,285,3462
Improper Passing,278,3350
Improper Turn,5040,64028
Improper/Missing Plates,239,2832
Not Giving R of W to Pedes.,2681,28343
Not Giving R of W to Veh.,280,2821
One Way Street,331,4348
Pavement Markings,1710,24875
Safety Belt,5293,87659
"School Bus, Passing Stopped",315,4331
Speeding,5997,40503
Spillback,260,3753
Tinted Windows,6994,61119
Truck Routes,275,4340
U-Turn,577,6571
Uninspected,239,4653
Uninsured,3321,43777
Unlicensed Operator,4141,49728
Unregistered,833,10475
Unsafe Lane Change,477,4735
Other Movers,3586,47494
PATROL TOTAL Movers ,70958,835481
