"Moving Violations",,
"78th Precinct",,
"November ",,
078sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",3,21
"Brake Lights (Defect.or Improper)",7,107
"Bus Lane, Driving in",0,0
"Cell Phone",50,1264
"Commercial Veh on Pkwy",0,15
"Defective Brakes",0,3
"Disobey Sign",101,1051
"Equipment (Other)",0,3
"Fail to Keep Right",0,0
"Fail to Signal",30,296
"Fail to Stop on Signal",76,1363
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",10,167
"Improper Lights",0,12
"Improper Passing",1,40
"Improper Turn",12,213
"Improper/Missing Plates",0,5
"Not Giving R of W to Pedes.",26,255
"Not Giving R of W to Veh.",0,12
"One Way Street",0,6
"Pavement Markings",10,146
"Safety Belt",37,965
"School Bus, Passing Stopped",0,30
Speeding,10,299
Spillback,3,148
"Tinted Windows",56,418
"Truck Routes",1,54
U-Turn,18,265
Uninspected,0,9
Uninsured,17,224
"Unlicensed Operator",18,258
Unregistered,6,48
"Unsafe Lane Change",1,19
"Other Movers",9,180
"078    TOTAL Movers ",502,7899
"* All figures are preliminary and subject to change.",,
