13th Precinct,,
November ,,
013sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,7
Brake Lights (Defect.or Improper),2,115
"Bus Lane, Driving in",1,18
Cell Phone,41,685
Commercial Veh on Pkwy,0,0
Defective Brakes,0,7
Disobey Sign,165,2084
Equipment (Other),4,33
Fail to Keep Right,0,1
Fail to Signal,5,70
Fail to Stop on Signal,65,793
Following Too Closely,1,26
Headlights (Defect. or Improper),5,88
Improper Lights,0,0
Improper Passing,0,13
Improper Turn,140,1535
Improper/Missing Plates,0,10
Not Giving R of W to Pedes.,36,363
Not Giving R of W to Veh.,2,17
One Way Street,1,113
Pavement Markings,0,180
Safety Belt,12,269
"School Bus, Passing Stopped",3,17
Speeding,9,90
Spillback,19,564
Tinted Windows,8,78
Truck Routes,0,27
U-Turn,0,6
Uninspected,0,6
Uninsured,20,328
Unlicensed Operator,10,209
Unregistered,6,71
Unsafe Lane Change,13,92
Other Movers,33,383
013    TOTAL Movers ,601,8298
