"Moving Violations",,
Citywide,,
"November ",,
citysum,,
"Offense Description","MTD 2014  ","YTD 2014  "
"Backing Unsafely",206,1921
"Brake Lights (Defect.or Improper)",1563,21865
"Bus Lane, Driving in",201,2689
"Cell Phone",6971,102641
"Commercial Veh on Pkwy",156,1365
"Defective Brakes",18,309
"Disobey Sign",13167,145842
"Equipment (Other)",513,8914
"Fail to Keep Right",40,333
"Fail to Signal",2286,20898
"Fail to Stop on Signal",4226,51146
"Following Too Closely",139,1259
"Headlights (Defect. or Improper)",1837,20675
"Improper Lights",293,3567
"Improper Passing",359,4449
"Improper Turn",5369,69616
"Improper/Missing Plates",250,3200
"Not Giving R of W to Pedes.",3074,32060
"Not Giving R of W to Veh.",319,3167
"One Way Street",389,4887
"Pavement Markings",1961,27689
"Safety Belt",5653,95259
"School Bus, Passing Stopped",317,5268
Speeding,13606,111274
Spillback,306,4295
"Tinted Windows",7498,70869
"Truck Routes",278,4445
U-Turn,577,6587
Uninspected,288,5698
Uninsured,3437,45937
"Unlicensed Operator",4568,54593
Unregistered,903,11673
"Unsafe Lane Change",548,5533
"Other Movers",5864,67298
"TOTAL Movers ",87180,1017221
,,
"* All figures are preliminary and subject to change.",,
