"Moving Violations",,
"23rd Precinct",,
"November ",,
023sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,16
"Brake Lights (Defect.or Improper)",14,221
"Bus Lane, Driving in",1,9
"Cell Phone",87,2097
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",61,621
"Equipment (Other)",5,145
"Fail to Keep Right",0,0
"Fail to Signal",5,111
"Fail to Stop on Signal",42,579
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",4,195
"Improper Lights",0,0
"Improper Passing",1,30
"Improper Turn",57,501
"Improper/Missing Plates",0,11
"Not Giving R of W to Pedes.",41,501
"Not Giving R of W to Veh.",4,5
"One Way Street",2,105
"Pavement Markings",0,8
"Safety Belt",31,1164
"School Bus, Passing Stopped",0,82
Speeding,29,181
Spillback,0,0
"Tinted Windows",29,232
"Truck Routes",7,50
U-Turn,1,2
Uninspected,1,1
Uninsured,4,71
"Unlicensed Operator",12,162
Unregistered,0,18
"Unsafe Lane Change",0,27
"Other Movers",18,244
"023    TOTAL Movers ",458,7390
"* All figures are preliminary and subject to change.",,
