"Moving Violations",,
"72nd Precinct",,
"November ",,
072sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,26
"Brake Lights (Defect.or Improper)",0,35
"Bus Lane, Driving in",0,0
"Cell Phone",39,714
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,3
"Disobey Sign",88,1143
"Equipment (Other)",0,1
"Fail to Keep Right",1,1
"Fail to Signal",10,90
"Fail to Stop on Signal",80,1028
"Following Too Closely",5,57
"Headlights (Defect. or Improper)",3,64
"Improper Lights",0,2
"Improper Passing",1,16
"Improper Turn",37,385
"Improper/Missing Plates",11,123
"Not Giving R of W to Pedes.",15,338
"Not Giving R of W to Veh.",6,71
"One Way Street",6,53
"Pavement Markings",48,656
"Safety Belt",55,724
"School Bus, Passing Stopped",3,54
Speeding,52,383
Spillback,1,12
"Tinted Windows",47,362
"Truck Routes",4,41
U-Turn,18,249
Uninspected,3,36
Uninsured,34,456
"Unlicensed Operator",46,637
Unregistered,12,165
"Unsafe Lane Change",24,121
"Other Movers",30,426
"072    TOTAL Movers ",681,8472
"* All figures are preliminary and subject to change.",,
