Bronx,,
    June ,,
"","",""
Backing Unsafely,12,104
Bike Lane,4,36
Bus Lane,21,272
Cell Phone,540,3424
Commercial Veh on Pkwy,1,20
Cruising For Passengers,0,0
Disobey Traffic Control Device,2206,15795
Driving Too Slow,1,1
Equipment,404,2574
Equipment (Other),1,2
Excessive Noise,0,1
Fail to Keep Right,3,12
Fail to yield Right of Way to Pedestrian,410,4064
Failure to Signal,145,1160
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,5,40
Improper Passing,18,109
Improper Taxi Pickup,0,2
Improper Turn,959,7145
Improper/Missing Plates,23,136
Lamps and Other Equipment on Bicycle,1,14
Motorcycle (Other),42,67
Not Giving R of W to Veh.,16,115
Obstructed Plate,145,928
One Way Street,59,338
Overheight,0,0
Overlength,0,1
Overweight,0,0
Overwidth,0,0
Pavement Markings,10,24
Red Light,562,4140
School Bus,24,345
Scooter In NYC,5,9
Seat Belt,732,4221
Speeding,961,7397
Spillback,13,63
TBTA Rule,0,0
Tints,653,4093
TLC (Other),0,0
Truck Route,1,95
Uninspected,28,186
Uninsured,240,1482
Unlicensed Operator,703,4820
Unregistered,227,1373
Unsafe Lane Change,54,386
Other Movers,839,4780
PBBXTOTAL Movers ,10068,69774
