Patrol Bureau,,
    June ,,
"","",""
Backing Unsafely,48,366
Bike Lane,58,333
Bus Lane,153,1847
Cell Phone,3070,19293
Commercial Veh on Pkwy,11,117
Cruising For Passengers,0,6
Disobey Traffic Control Device,12031,89414
Driving Too Slow,2,12
Equipment,1933,10562
Equipment (Other),11,36
Excessive Noise,0,1
Fail to Keep Right,10,46
Fail to yield Right of Way to Pedestrian,4640,30250
Failure to Signal,1060,7756
Failure to yield Right of Way to Vehicle,13,35
Following Too Closely,22,143
Improper Passing,234,1078
Improper Taxi Pickup,10,110
Improper Turn,5853,38522
Improper/Missing Plates,95,516
Lamps and Other Equipment on Bicycle,11,53
Motorcycle (Other),191,648
Not Giving R of W to Veh.,101,574
Obstructed Plate,601,3702
One Way Street,285,1957
Overheight,0,0
Overlength,0,1
Overweight,0,1
Overwidth,0,0
Pavement Markings,15,95
Red Light,5556,35570
School Bus,95,1208
Scooter In NYC,21,36
Seat Belt,6263,33251
Speeding,5666,36426
Spillback,43,290
TBTA Rule,0,2
Tints,2245,18485
TLC (Other),0,29
Truck Route,66,660
Uninspected,188,1039
Uninsured,815,5388
Unlicensed Operator,3590,22741
Unregistered,815,4562
Unsafe Lane Change,202,1242
Other Movers,6418,39360
PATROLTOTAL Movers ,62441,407763
