Brooklyn South,,
    June ,,
"","",""
Backing Unsafely,7,62
Bike Lane,4,25
Bus Lane,22,179
Cell Phone,700,3860
Commercial Veh on Pkwy,4,41
Cruising For Passengers,0,0
Disobey Traffic Control Device,2062,14074
Driving Too Slow,0,0
Equipment,293,1418
Equipment (Other),0,4
Excessive Noise,0,0
Fail to Keep Right,0,4
Fail to yield Right of Way to Pedestrian,890,5257
Failure to Signal,184,1570
Failure to yield Right of Way to Vehicle,5,8
Following Too Closely,4,19
Improper Passing,42,209
Improper Taxi Pickup,0,6
Improper Turn,531,3577
Improper/Missing Plates,9,69
Lamps and Other Equipment on Bicycle,4,13
Motorcycle (Other),31,111
Not Giving R of W to Veh.,29,149
Obstructed Plate,96,629
One Way Street,44,193
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,2,19
Red Light,1185,6828
School Bus,18,247
Scooter In NYC,0,5
Seat Belt,1267,6571
Speeding,1014,5722
Spillback,7,42
TBTA Rule,0,0
Tints,349,3307
TLC (Other),0,1
Truck Route,14,122
Uninspected,27,218
Uninsured,127,913
Unlicensed Operator,573,3582
Unregistered,142,799
Unsafe Lane Change,25,154
Other Movers,1146,6404
PBBSTOTAL Movers ,10857,66411
