Queens North,,
    June ,,
"","",""
Backing Unsafely,3,29
Bike Lane,4,29
Bus Lane,39,261
Cell Phone,514,3320
Commercial Veh on Pkwy,0,2
Cruising For Passengers,0,0
Disobey Traffic Control Device,1138,10212
Driving Too Slow,0,1
Equipment,291,1359
Equipment (Other),5,12
Excessive Noise,0,0
Fail to Keep Right,2,5
Fail to yield Right of Way to Pedestrian,925,4759
Failure to Signal,82,411
Failure to yield Right of Way to Vehicle,3,10
Following Too Closely,2,11
Improper Passing,33,138
Improper Taxi Pickup,0,2
Improper Turn,245,1870
Improper/Missing Plates,11,52
Lamps and Other Equipment on Bicycle,2,5
Motorcycle (Other),26,100
Not Giving R of W to Veh.,13,54
Obstructed Plate,54,342
One Way Street,27,145
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,2
Red Light,628,3603
School Bus,8,117
Scooter In NYC,0,0
Seat Belt,1293,5915
Speeding,918,5764
Spillback,1,22
TBTA Rule,0,0
Tints,277,2433
TLC (Other),0,0
Truck Route,12,122
Uninspected,25,123
Uninsured,60,380
Unlicensed Operator,539,3319
Unregistered,74,383
Unsafe Lane Change,16,47
Other Movers,946,5713
PBQNTOTAL Movers ,8216,51072
