Transportation Bureau,,
    June ,,
"","",""
Backing Unsafely,6,76
Bike Lane,15,34
Bus Lane,304,1460
Cell Phone,305,1666
Commercial Veh on Pkwy,229,1471
Cruising For Passengers,4,41
Disobey Traffic Control Device,3298,21483
Driving Too Slow,4,20
Equipment,933,5438
Equipment (Other),0,8
Excessive Noise,0,0
Fail to Keep Right,3,12
Fail to yield Right of Way to Pedestrian,566,2120
Failure to Signal,355,2135
Failure to yield Right of Way to Vehicle,1,8
Following Too Closely,53,372
Improper Passing,76,360
Improper Taxi Pickup,126,988
Improper Turn,1002,7981
Improper/Missing Plates,53,175
Lamps and Other Equipment on Bicycle,0,1
Motorcycle (Other),230,595
Not Giving R of W to Veh.,25,234
Obstructed Plate,195,1182
One Way Street,177,1289
Overheight,13,61
Overlength,4,29
Overweight,11,69
Overwidth,0,0
Pavement Markings,23,100
Red Light,372,1872
School Bus,7,341
Scooter In NYC,0,0
Seat Belt,799,4779
Speeding,6326,42409
Spillback,317,4263
TBTA Rule,0,0
Tints,791,9923
TLC (Other),0,0
Truck Route,51,255
Uninspected,136,641
Uninsured,130,996
Unlicensed Operator,766,4358
Unregistered,185,1271
Unsafe Lane Change,207,1198
Other Movers,1590,9603
TCDTOTAL Movers ,19688,131317
