"Moving Violations",,
"25th Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
2","YTD 2014"
,,5
"Brake Lights (Defect.or  Improper)",34,109
"Bus Lane, Driving in",0,0
"Cell Phone",169,422
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,7
"Disobey Sign",24,83
"Equipment (Other)",4,15
"Fail to Keep Right",0,0
"Fail to Signal",41,92
"Fail to Stop on Signal",49,140
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",29,127
"Improper Lights",0,2
"Improper Passing",4,4
"Improper Turn",87,342
"Improper/Missing Plates",2,13
"Not Giving R of W to Pedes.",11,111
"Not Giving R of W to Veh.",2,8
"One Way Street",10,21
"Pavement Markings",18,45
"Safety Belt",182,504
"School Bus, Passing Stopped",0,1
Speeding,7,14
Spillback,0,0
"Tinted Windows",160,306
"Truck Routes",52,101
U-Turn,51,101
Uninspected,8,16
Uninsured,28,92
"Unlicensed Operator",44,119
Unregistered,12,28
"Unsafe Lane Change",6,10
"Other Movers
TOTAL Movers","48
1084",189
,,3028
"* All figures are preliminary and subject to change.",,
