"Moving Violations",,
"106th Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
2","YTD 2014"
,,5
"Brake Lights (Defect.or  Improper)",0,1
"Bus Lane, Driving in",0,0
"Cell Phone",76,183
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,9
"Disobey Sign",93,263
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",4,5
"Fail to Stop on Signal",111,325
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,5
"Improper Lights",31,81
"Improper Passing",1,4
"Improper Turn",139,461
"Improper/Missing Plates",1,1
"Not Giving R of W to Pedes.",13,55
"Not Giving R of W to Veh.",6,23
"One Way Street",1,3
"Pavement Markings",13,55
"Safety Belt",121,316
"School Bus, Passing Stopped",0,2
Speeding,20,79
Spillback,1,5
"Tinted Windows",111,316
"Truck Routes",2,8
U-Turn,0,0
Uninspected,10,21
Uninsured,119,352
"Unlicensed Operator",62,180
Unregistered,21,47
"Unsafe Lane Change",4,9
"Other Movers
TOTAL Movers","42
1004",102
,,2916
"* All figures are preliminary and subject to change.",,
