"Moving Violations",,
"Midtown South Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
4","YTD 2014"
,,10
"Brake Lights (Defect.or  Improper)",46,135
"Bus Lane, Driving in",0,0
"Cell Phone",155,596
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",259,705
"Equipment (Other)",0,10
"Fail to Keep Right",3,3
"Fail to Signal",19,50
"Fail to Stop on Signal",46,127
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",144,500
"Improper Lights",0,6
"Improper Passing",0,0
"Improper Turn",235,596
"Improper/Missing Plates",0,2
"Not Giving R of W to Pedes.",138,321
"Not Giving R of W to Veh.",1,1
"One Way Street",7,17
"Pavement Markings",7,23
"Safety Belt",180,646
"School Bus, Passing Stopped",0,0
Speeding,3,6
Spillback,78,252
"Tinted Windows",66,172
"Truck Routes",21,63
U-Turn,32,102
Uninspected,2,4
Uninsured,118,285
"Unlicensed Operator",40,118
Unregistered,21,62
"Unsafe Lane Change",11,33
"Other Movers
TOTAL Movers","74
1710",262
,,5108
"* All figures are preliminary and subject to change.",,
