"Moving Violations",,
"Brooklyn North",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
24","YTD 2014"
,,83
"Brake Lights (Defect.or  Improper)",553,1613
"Bus Lane, Driving in",0,1
"Cell Phone",1565,4235
"Commercial Veh on Pkwy",0,0
"Defective Brakes",2,10
"Disobey Sign",1628,4172
"Equipment (Other)",32,68
"Fail to Keep Right",4,16
"Fail to Signal",200,626
"Fail to Stop on Signal",659,1979
"Following Too Closely",10,27
"Headlights (Defect. or Improper)",693,2254
"Improper Lights",6,17
"Improper Passing",77,229
"Improper Turn",592,1603
"Improper/Missing Plates",30,121
"Not Giving R of W to Pedes.",262,586
"Not Giving R of W to Veh.",61,150
"One Way Street",65,206
"Pavement Markings",333,1148
"Safety Belt",1160,3120
"School Bus, Passing Stopped",23,36
Speeding,449,999
Spillback,35,79
"Tinted Windows",1301,3590
"Truck Routes",54,124
U-Turn,51,143
Uninspected,71,297
Uninsured,771,2205
"Unlicensed Operator",784,2132
Unregistered,181,571
"Unsafe Lane Change",7,27
"Other Movers
TOTAL Movers","1049
12732",2766
,,35233
"* All figures are preliminary and subject to change.",,
